province,city,Tier
安徽省    ,合肥市,T3
安徽省    ,芜湖市,T4
安徽省    ,蚌埠市,T4
安徽省    ,安庆市,T4
安徽省    ,滁州市,T4
安徽省    ,六安市,T4
安徽省    ,宿州市,T4
安徽省    ,阜阳市,T4
安徽省    ,淮南市,T5
安徽省    ,马鞍山市,T5
安徽省    ,铜陵市,T5
安徽省    ,黄山市,T5
安徽省    ,淮北市,T5
安徽省    ,宣城市,T5
安徽省    ,亳州市,T5
安徽省    ,池州市,T5
北京市    ,北京市,T1
福建省    ,厦门市,T2
福建省    ,泉州市,T3
福建省    ,福州市,T3
福建省    ,漳州市,T4
福建省    ,宁德市,T4
福建省    ,莆田市,T4
福建省    ,三明市,T5
福建省    ,龙岩市,T5
福建省    ,南平市,T5
甘肃省    ,兰州市,T3
甘肃省    ,平凉市,T5
甘肃省    ,定西市,T5
甘肃省    ,天水市,T5
甘肃省    ,嘉峪关市,T5
甘肃省    ,酒泉市,T5
甘肃省    ,庆阳市,T5
甘肃省    ,张掖市,T5
广东省    ,广州市,T1
广东省    ,佛山市,T2
广东省    ,珠海市,T3
广东省    ,中山市,T3
广东省    ,江门市,T4
广东省    ,肇庆市,T4
广东省    ,清远市,T4
广东省    ,湛江市,T4
广东省    ,云浮市,T5
广东省    ,阳江市,T5
广东省    ,韶关市,T5
广东省    ,茂名市,T5
广东省    ,深圳市,T1
广东省    ,东莞市,T2
广东省    ,惠州市,T3
广东省    ,汕头市,T4
广东省    ,揭阳市,T4
广东省    ,潮州市,T4
广东省    ,汕尾市,T5
广东省    ,河源市,T5
广东省    ,梅州市,T5
广西自治区,南宁市,T3
广西自治区,柳州市,T4
广西自治区,桂林市,T4
广西自治区,钦州市,T5
广西自治区,来宾市,T5
广西自治区,贵港市,T5
广西自治区,北海市,T5
广西自治区,百色市,T5
广西自治区,贺州市,T5
广西自治区,梧州市,T5
广西自治区,崇左市,T5
广西自治区,玉林市,T5
贵州省    ,贵阳市,T3
贵州省    ,遵义市,T4
贵州省    ,毕节市,T5
贵州省    ,安顺市,T5
贵州省    ,六盘水市,T5
贵州省    ,黔东南自治州,T5
贵州省    ,黔南自治州,T5
贵州省    ,铜仁市,T5
贵州省    ,黔西南自治州,T5
海南省    ,海口市,T4
海南省    ,三亚市,T4
海南省    ,儋州市,T5
河北省    ,保定市,T3
河北省    ,石家庄市,T3
河北省    ,唐山市,T4
河北省    ,廊坊市,T4
河北省    ,沧州市,T4
河北省    ,邯郸市,T4
河北省    ,邢台市,T4
河北省    ,张家口市,T5
河北省    ,承德市,T5
河北省    ,衡水市,T5
河北省    ,秦皇岛市,T5
河南省    ,郑州市,T3
河南省    ,信阳市,T4
河南省    ,洛阳市,T4
河南省    ,南阳市,T4
河南省    ,新乡市,T4
河南省    ,许昌市,T4
河南省    ,商丘市,T4
河南省    ,驻马店市,T4
河南省    ,周口市,T4
河南省    ,安阳市,T4
河南省    ,开封市,T4
河南省    ,焦作市,T5
河南省    ,鹤壁市,T5
河南省    ,三门峡市,T5
河南省    ,濮阳市,T5
河南省    ,平顶山市,T5
河南省    ,漯河市,T5
黑龙江省  ,哈尔滨市,T3
黑龙江省  ,齐齐哈尔市,T5
黑龙江省  ,佳木斯市,T5
黑龙江省  ,绥化市,T5
黑龙江省  ,牡丹江市,T5
黑龙江省  ,大庆市,T5
黑龙江省  ,鸡西市,T5
黑龙江省  ,七台河市,T5
黑龙江省  ,双鸭山市,T5
湖北省    ,武汉市,T2
湖北省    ,荆州市,T4
湖北省    ,宜昌市,T4
湖北省    ,襄阳市,T4
湖北省    ,黄冈市,T5
湖北省    ,十堰市,T5
湖北省    ,恩施自治州,T5
湖北省    ,孝感市,T5
湖北省    ,荆门市,T5
湖北省    ,咸宁市,T5
湖北省    ,黄石市,T5
湖北省    ,鄂州市,T5
湖北省    ,随州市,T5
湖南省    ,长沙市,T2
湖南省    ,衡阳市,T4
湖南省    ,岳阳市,T4
湖南省    ,株洲市,T4
湖南省    ,常德市,T5
湖南省    ,邵阳市,T5
湖南省    ,湘潭市,T5
湖南省    ,永州市,T5
湖南省    ,郴州市,T5
湖南省    ,湘西自治州,T5
湖南省    ,娄底市,T5
湖南省    ,张家界市,T5
湖南省    ,益阳市,T5
湖南省    ,怀化市,T5
吉林省    ,长春市,T3
吉林省    ,松原市,T5
吉林省    ,延边自治州,T5
吉林省    ,白山市,T5
吉林省    ,吉林市,T5
吉林省    ,辽源市,T5
吉林省    ,白城市,T5
吉林省    ,通化市,T5
吉林省    ,四平市,T5
江苏省    ,南京市,T2
江苏省    ,苏州市,T2
江苏省    ,无锡市,T2
江苏省    ,常州市,T3
江苏省    ,南通市,T3
江苏省    ,徐州市,T3
江苏省    ,镇江市,T4
江苏省    ,扬州市,T4
江苏省    ,盐城市,T4
江苏省    ,泰州市,T4
江苏省    ,淮安市,T4
江苏省    ,宿迁市,T4
江苏省    ,连云港市,T4
江西省    ,南昌市,T3
江西省    ,赣州市,T4
江西省    ,宜春市,T4
江西省    ,上饶市,T4
江西省    ,九江市,T4
江西省    ,抚州市,T5
江西省    ,景德镇市,T5
江西省    ,鹰潭市,T5
江西省    ,萍乡市,T5
江西省    ,吉安市,T5
江西省    ,新余市,T5
辽宁省    ,沈阳市,T2
辽宁省    ,大连市,T3
辽宁省    ,丹东市,T5
辽宁省    ,锦州市,T5
辽宁省    ,鞍山市,T5
辽宁省    ,盘锦市,T5
辽宁省    ,营口市,T5
辽宁省    ,阜新市,T5
辽宁省    ,抚顺市,T5
辽宁省    ,辽阳市,T5
辽宁省    ,葫芦岛市,T5
辽宁省    ,本溪市,T5
辽宁省    ,朝阳市,T5
内蒙古自治,呼和浩特市,T4
内蒙古自治,包头市,T5
内蒙古自治,巴彦淖尔市,T5
内蒙古自治,通辽市,T5
内蒙古自治,锡林郭勒盟,T5
内蒙古自治,乌海市,T5
内蒙古自治,鄂尔多斯市,T5
内蒙古自治,乌兰察布市,T5
内蒙古自治,赤峰市,T5
内蒙古自治,兴安盟,T5
内蒙古自治,呼伦贝尔市,T5
宁夏自治区,银川市,T4
宁夏自治区,吴忠市,T5
青海省    ,西宁市,T5
山东省    ,青岛市,T2
山东省    ,济南市,T3
山东省    ,烟台市,T3
山东省    ,潍坊市,T3
山东省    ,临沂市,T3
山东省    ,淄博市,T4
山东省    ,德州市,T4
山东省    ,济宁市,T4
山东省    ,泰安市,T4
山东省    ,威海市,T4
山东省    ,菏泽市,T4
山东省    ,聊城市,T4
山东省    ,滨州市,T5
山东省    ,日照市,T5
山东省    ,东营市,T5
山东省    ,枣庄市,T5
山西省    ,太原市,T3
山西省    ,运城市,T4
山西省    ,晋中市,T5
山西省    ,朔州市,T5
山西省    ,大同市,T5
山西省    ,长治市,T5
山西省    ,临汾市,T5
山西省    ,晋城市,T5
山西省    ,阳泉市,T5
山西省    ,忻州市,T5
山西省    ,吕梁市,T5
陕西省    ,西安市,T2
陕西省    ,渭南市,T4
陕西省    ,咸阳市,T4
陕西省    ,汉中市,T5
陕西省    ,榆林市,T5
陕西省    ,宝鸡市,T5
陕西省    ,延安市,T5
陕西省    ,安康市,T5
陕西省    ,商洛市,T5
上海市    ,上海市,T1
四川省    ,成都市,T2
四川省    ,绵阳市,T4
四川省    ,泸州市,T5
四川省    ,雅安市,T5
四川省    ,眉山市,T5
四川省    ,德阳市,T5
四川省    ,自贡市,T5
四川省    ,攀枝花市,T5
四川省    ,乐山市,T5
四川省    ,宜宾市,T5
四川省    ,广元市,T5
四川省    ,南充市,T5
四川省    ,凉山自治州,T5
四川省    ,内江市,T5
四川省    ,巴中市,T5
四川省    ,资阳市,T5
四川省    ,广安市,T5
四川省    ,达州市,T5
四川省    ,甘孜自治州,T5
四川省    ,遂宁市,T5
四川省    ,阿坝自治州,T5
天津市    ,天津市,T2
云南省    ,昆明市,T3
云南省    ,曲靖市,T5
云南省    ,西双版纳自治州,T5
云南省    ,玉溪市,T5
云南省    ,丽江市,T5
云南省    ,保山市,T5
云南省    ,普洱市,T5
云南省    ,大理自治州,T5
云南省    ,文山自治州,T5
云南省    ,红河自治州,T5
云南省    ,楚雄自治州,T5
云南省    ,昭通市,T5
云南省    ,德宏自治州,T5
浙江省    ,宁波市,T2
浙江省    ,杭州市,T2
浙江省    ,金华市,T3
浙江省    ,温州市,T3
浙江省    ,嘉兴市,T3
浙江省    ,绍兴市,T3
浙江省    ,台州市,T4
浙江省    ,湖州市,T4
浙江省    ,丽水市,T5
浙江省    ,衢州市,T5
浙江省    ,舟山市,T5
重庆市    ,重庆市,T2
,,
